subject,book_title,unit_topic,sub_topics,author,published_year
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),INTRODUCTION TO MANAGERIAL ECONOMICS,"""Definition"";""Nature and scope managerial economics"";""Demand Analysis: Demand Determinants"";""Law of Demand and its exceptions""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),ELASTICITY OF DEMAND,"""Definition"";""Types"";""Measurements and significance of elasticity of demand"";""Demand forecasting"";""Factors Governing demand forecasting"";""Methods of demand forecasting (Survey methods, statistical methods, expert opinion method, test marketing, controlled experiments, judgmental approach to demand forecasting)""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),THEORY OF PRODUCTION AND COST ANALYSIS,"""Production Function Isoquants and Isocosts, MRTS, Least Cost Combination of Inputs, Cobb-Douglas Production Function, Laws of Returns, Internal and External Economies of Scale; Cost Analysis: Cost concepts, Opportunity cost, Fixed vs. Variable costs. Explicit costs vs. Implicit costs, Out of pocket costs vs. Imputed costs, Break-even Analysis (BEA)-Determination of Break-Even Point (simple problems)-Managerial Significance and limitations of BEA.""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),INTRODUCTION TO MARKETS & PRICING STRATEGIES,"""Market structure: Type of competition, Features of perfect competition, Monopoly and monopolistic competition, Price_output determination in case of perfect competition and Monopoly; Objective and policies of pricing_methods of pricing: cost plus pricing, Marginal cost pricing, sealed bid pricing, Going rate pricing, Limit pricing, Market skimming pricing, Penetration pricing, Block pricing, Bundling pricing, Peak load pricing, Cross subsidization""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),BUSINESS & NEW ECONOMIC ENVIRONMENT,"""Codes Characteristic feats & New ECONOMIC and evaluation of Sole Proprietorship, Partnership, Joint Stock Company; Public Enterprises and their types, Changing Business Environment in Post Liberalisation scenario""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),CAPITAL BUDGETING,"""Capital and its significance, Types of Capital, Estimation of Fixed and Working capital requirement Methods and sources of raising finance; Nature and scope of capital budgeting, features of capital budgeting proposals, Methods of Capital Budgeting: Payback Method, Accounting Rate of Return (ARR) and Net Present Value Method (simple problem) """,A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),INTRODUCTION TO FINANCIAL ACCOUNTING,"""Double-Entry Book Keeping, Journal, Ledger, Trial Balance- Final Accounts (Trading Account, Profit and Loss Account and Balance Sheet with simple adjustments)""",A Ramachandra Aryasri,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ANALYSIS (THIRD EDITION),FINANCIAL ANALYSIS THROUGH RATIOS,""" Computation, Analysis and Interpretation of Liquidity Ratios (Current Ratio and quick ratio), Activity Ratios (Inventory turnover ratio and Debtor Turnover ratio), Capital structure Ratios (Debt-Equity ratio, Interest Coverage ratio), and Profitability ratios (Gross Profit Ratio, Net Profit ratio, Operating Ratio, P/E Ratio and EPS)""",P.Vijaya Kumar,2014
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,INTRODUCTION TO MANAGERIAL ECONOMICS,""" Definition of Managerial Economics; Characteristics and Scope-Managerial Economics and its relation with other subjects; Basic economic tools in Managerial Economics""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,DEMAND ANALYSIS,"""Meaning; Demand distinctions; Demand determinants; Law of Demand and its exceptions""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ELASTICITY OF DEMAND,"""Definition; Types of Elasticity of demand; Measurement of price elasticity of demand: Total outlay method, Point method and Arc method; Significance of Elasticity of Demand""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,DEMAND FORECASTING,"""Meaning; Factors governing demand forecasting; Methods of demand forecasting (survey of buyers' Intentions, Delphi method, Collective opinion, Analysis of Time series and Trend projections. Economic Indicators, Controlled experiments and Judgmental approach); Forecasting demand for new products; Criteria of a good forecasting method""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,THEORY OF PRODUCTION,"""Production Function-Isoquants and Isocosts, MRTS, Law of variable proportions- Law of returns to scale, Least Cost Combination of Inputs, Cobb-Douglas Production function - Economies of Scale""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,COST ANALYSIS ,"""Cost concepts, Opportunity cost, Fixed Vs Variable costs, Explicit costs Vs. Implicit costs, Out of pocket costs vs. Imputed costs, Determination of Break-Even Point (simple problems), Managerial Significance and limitations of BEP""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,"INTRODUCTION TO MARKETS, MANAGERIAL THEORIES OF THE FIRM","""Market structures: Types of competition, Features of Perfect Competition, Monopoly and Monopolistic Competition; Price-Output Determination under Perfect Competition, Monopoly, Monopolistic Competition and Oligopoly; Managerial theories of the firm-Marris and Williamson's models""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,TYPES OF INDUSTRIAL ORGANIZATION,"""Characteristic features of Industrial organization, Features and evaluation of Sole Proprietorship, Partnership, Joint Stock Company, State/Public Enterprises and their types""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,INTRODUCTION TO BUSINESS CYCLES,"""Meaning-Phases of business cycles;Features of business cycles""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,Introduction to Financial Accounting,"""Introduction to Double-entry system, Journal, Ledger, Trial Balance- Final Accounts (with simple adjustments); Limitations of Financial Statements""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,Interpretation and analysis of Financial Statement,"""Ratio Analysis"";""Liquidity ratios"";""Profitability ratios and solvency ratios"";""Preparation of changes in working capital statement and fund flow statement.""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,CAPITAL AND CAPITAL BUDGETING,"""Meaning of capital budgeting"";""Need for capital budgeting"";""Capital budgeting decisions (Examples of capital budgeting)"";""Methods of Capital Budgeting: Payback Method"";""Accounting Rate of Return (ARR)"";""IRR and Net Present Value Method (simple problems)""",P.Vijaya Kumar,2010
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Introduction to Managerial Economics,"""Nature and Scope of Managerial Economics"";""Nature of Managerial Economics"";""Scope of Managerial Economics"";""Managerial Economies an Relation with other Subjects"";""Economic Theory and Managerial Economics"";""Demand Distinctions"";""Demand Determinants""",N.Appa Rao,2013
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Elasticity of Demand and Demand Forecasting,"""Introduction"";""Types of Price Elesticity of Demand"";""Methods of Measuring Elasticity"";""Kinds of Elasticity of Demand"";""Significance of the Concept of Elasticity"";""Demand Forecasting"";""Factors Involved in Demand Forecasting"";""Methods of Forecasting"";""Regression Equations and Forecasting"";""Controlled Experiments"";""Judgmental Approach"";""Recent Trends in Demand Forecasting""",N.Appa Rao,2013
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Theory of Production and Cost Analysis,"""Cost Concepts and Classifications"";""Cost Concepts Urgent and Postponable Cods"";""Average Cost"";""Marginal Cost"";""and Total Cost"";""Cost Output Relationship"";""Cost Functions"";""Production Function"";""Production Functions with One Variable Input"";""Production Function with Two Variable Inputs"";""Production Functions with all Variable Inputs"";""Measurement of Production Function"";""Profit Planning and Forecasting"";""Determination of the Break-Even Point""",N.Appa Rao,2013
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Market,"""Market Structures: Equilibrium of Firm and Industry"";""Meaning of Market"";""Secular Period Bilateral Monopoly"";""Comparison Between Monopoly And Perfect Competition"";""Managerial Theories of the Firm: Marris and Williamson's Models"";""Pricing Policies""",N.Appa Rao,2013
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Types of Industrial Organization and Introduction to Business Cycles,"""Forms of Ownership Organization"";""Sole Proprietorship"";""The Joint Hindu Family Firm"";""Partnership Organization"";""Company Organization"";""Management of Public Enterprises"";""Administrative Problems of State Enterprises"";""Progress of Public Undertakings in India""",N.Appa Rao,2013
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Introduction to Financial Accounting,"""Introduction to Accounting"";""Meaning"";""Objectives and Scope of Accounting"";""Functions of Accounting"";""Importance of Accounting and its Users"";""Systems of Accounting"";""Accounting Principles"";""Accounting Conventions"";""Business Transactions"";""Introduction to Accounting Standards"";""Accounting Information System"";""Accounting Sub-System"";""Recording in the Books"";""Transactions"";""Financial Statements and Information Reporting"";""Accounting Equation"";""Transaction Analysis"";""Classification of Accounts and General Ledger"";""Recording Transactions on Double-entry Principle"";""Journal"";""Accounting Cycle"";""Ledger Accounts Balancing Technique"";""Adjusting Entries"";""Transfer Entries"";""Closing Entries and Opening Entries"";""Computerized Accounting"";""Manufacturing Business"";""Preparation of Final Accounts As Reporting Information"";""Work Sheet"";""Preparation of Financial Statements"";""Final Accounts of Sole Trading Organization""",N.Appa Rao,2013
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Interpretation and Analysis of Financial Statement ,"""Introduction"";""Analysis and Interpretation of Financial Statements"";""Types of Financial Analysis"";""Meaning of Ratio"";""Classification of Ratios by Purpose""",N.Appa Rao,2013
MANAGERIAL ECONOMICS AND FINANCIAL ACCOUNTANCY,ECONOMICS & FINANCIAL ANALYSIS,Captial Budgeting,"""Meaning of Capital Budgeting"";""Need for Capital Budgeting"";""Capital-Budgeting Process"";""Kinds of Capital-Budgeting Decisions"";""Methods of Capital Budgeting""",N.Appa Rao,2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Introduction to the theory of computation,"""Introduction to the theory of computation"";""Mathematical preliminaries and notation;Sets;Functions and Relations;Graphs and trees;Proof techniques"";""Three basic concepts;Languages;Grammars;Automata"";""Some applications""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Finite Automata,"""Deterministic finite accepters;Deterministic accepters and transition graphs;Languages and Dfa's;Regular languages"";""Nondeterministic finite accepters;Definition of a;nondeterministic accepters;Why nondeterminism?;Equivalence of deterministic and nondeterninistic finite accepters;Reduction of the number of states in finite automata""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Regular Languages and Regular Grammars,"""Regular Expressions;Formal Definition of a Regular Expression.;Languages Associated with Regular Expressions.""', '""Connection Between Regular Expressions and Regular Languages;Regular Expressions Denote Regular Languages.;Regular Expressions for Regular Languages.;Regular Expressions for Describing Simple Patterns.""', '""Regular Grammars Right- and Left-Linear Grammars Right-Linear Grammars Generate Regular Languages.;Right-Linear Grammars for Regular Languages.;Equivalence of Regular Languages and Regular. Grammars""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Properties of Regular Languages ,"""Properties of Regular Languages"";""Closure Properties of Regular Languages;Closure under Simple Set Operations.;Closure under Other Operations"";""Elementary Questions about Regular Languages"";""Identifying Nonregular Languages;Using the Pigeonhole Principle;A Pumping Lemma""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Context free language ,"""ContextFree Grammars;Examples of ContextFree Languages;Leftmost and Rightmost Derivations;Derivation Trees;Relation between Sentential Forms and Derivation;Trees""', '""Parsing and Ambiguity;Parsing and Membership;Ambiguity in Grammars and Languages""', '""ContextFree Grammars and Programming Languages""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Simplification of Context-Free Grammars and Normal forms,"""Methods for Transforming Grammars;A Useful Substitution Rule;Removing AProductions;Removing Useless Productions;Removing unitproduction."",""Two Important Normal Forms;Greibach Normal Form;Chomsky Normal Form."",""A Membership Algorithm for ContextFree Grammars""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Pushdown Automata,"""Nondeterministic Pushdown Automata;Definition of a Pushdown Automaton;The Language Accepted by a Pushdown Antomaton"",
""Pushdown Automata and Context-Free Languages"",""Pushdown Automata for Context-Free Languages;Context-Free Grammars for Pushdown Automata"",
""Deterministic Pushdown Automata and Deterministic Context-Free Languages"",""Grammars for Deterministic Context-Free Languages""



","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Properties of Context-Free Languages,"""Properties of Context-Free Languages"";""Two Pumping Lenmas;A Pumping Lemma for Context-Free Languages;A Pumping Lemma for Linear Languages"";""Closure Properties and Decision Algorithms for Context Free Languages.;Closure of Context-Free Languages.;Some Decidable Properties of Context-Free Languages.""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Turing Machines,"""Turing Machines"";""The Standard Turing Machine..;Definition of a Turing Machine;Turing Machines as Language Accepters;Turing Machines as Transducers"";""Combining Turing Machines for Complicated Tasks"";""Turing's Thesis""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Other Models of Turing Machines,"""Other Models of Turing Machines"";""Minor Variations on the Turing Machine Theme;Equivalence of Classes of Automata.;Turing Machines with a Stay-Option.;Turing Machines with Semi-Infinite Tape.;The Off-Line Turing Machine."";""Turing Machines with More Complex Storage;Multitape Turing Machines.;Multidimensional Turing Machines."";""Noudeterministic Turing Machines-262"";""A Universal Turing Machine"";""Linear Bounded Automata""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,A Hierarchy of Formal Languages and Automata,"""A Hierarchy of Formal Languages and Automata"";""Recursive and Recursively Enumerable Languages; Languages That Are Not Recursively Emumerable; A Language That Is Not Recursively Enumerable279 A Language That Is Recursively Enumerable but NotRecursive."";""Unrestricted Grammars"";""Context-Sensitive Grammars and Languages Context-Sensitive Languages and Linear Bounded. Automata Relation Between Recursive and Context-Sensitive Languages."";""The Chomsky Hierarchy""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Limits of Algorithmic Computation,"""Limits of Algorithmic Computation"";""Some Problems That Cannot Be Solved by Turing Machines. Computability and Decidability. The Turing Machine Halting Problem Reducing One Undecidable Problem to Another"";""Undecidable Problems for Recursively Enumerable Languages."";""The Post Correspondence Problem"";""Undecidable Problems for Context-Free Languages"";""A Question of Efficiency""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,Other Models of Computation,"""Other Models of Computation"";""Recursive Functions.."";""Primitive Recursive Functions"";""Ackermann's Function"";""Recursive Functions"";""Post Systems"";""Rewriting Systems"";""Matrix Grammars"";""Markov Algorithms"";""L-Systems""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,FORMAL LANGUAGES AND AUTOMATA,An Overview of Computational Complexity,"""An Overview of Computational Complexity"";""Efficiency of Computation"";""Turing Machine Models and Complexity"";""Language Families and Complexity Classes"";""CONTENTS"";""The Complexity Classes P and NP"";""Some NP Problems"";""Polynomial-Time Reduction"";""NP-Completeness and an Open Question""","""David"";""Thomas""",2013
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Automata: The Methods and the Madness,"""Automata: The Methods and the Madness"";""Why Study Automata Theory?"";""Introduction to Finite Automata."";""Structural Representations"";""Automata and Complexity"";""Introduction to Formal Proof"";""Deductive Proofs."";""Reduction to Definitions"";""Other Theorem Forms"";""Theorems That Appear Not to Be If-Then Statements"";""Additional Forms of Proof"";""Proving Equivalences About Sets"";""The Contrapositive."";""Proof by Contradiction"";""Counterexamples"";""Inductive Proofs"";""Inductions on Integers"";""More General Forms of Integer Inductions"";""Structural Inductions"";""Mutual Inductions"";""The Central Concepts of Automata Theory"";""Alphabets"";""Strings."";""Languages"";""Problems"";""Summary of Chapter"";""References for Chapter""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Finite Automata,"""Finite Automata"";""An Informal Picture of Finite Automata;The Ground Rules;The Protocol;Enabling the Automata to Ignore Actions;The entire System as an Automaton;Using the Product Antoinaton to Validate the Protocol"";""Deterministic Finite Automata;Extending the Transition Function to Strings;The Language of a DFA;Exercises for Section;Nondeterministic Finite Automata;Definition of Nondeterministic Finite Automata;An Infortual View of Nondeterministic Finite Automata;The Extended Transition Function;The Language of an NFA;Equivalence of Deterministic and Nondeterministic Finite Automata;A Bad Case for the Subset Construction;Exercises for Section 2.3"";""An Application: Text Search;Finding Strings in Text;Nondeterministic Finite Automata for Text Search;A DFA to Recognize a Set of Keywords;Exercises for Section 2.4"";""Finite Automata With Epsilon-Transitions;Uses of e-Transitions;The Formal Notation for an e-NFA;Epsilon-Closures;Extended Transitions and Languages for e-NFA's;Eliminating -Transitions;Exercises for Section2.5"";""Summary of Chapter"";""References for Chapter""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Regular Expressions,"""Regular Expressions"";""The Operators of Regular Expressions;Building Regular Expressions;Precedence of Regular-Expression Operators"";""Finite Automata and Regular Expressions"";""From DFA's to Regular Expressions;Converting DFA's to Regular Expressions by Eliminating States;Converting Regular Expressions to Automata"";""Applications of Regular Expressions"";""Laws Involving Closures;Regular Expressions in UNIX;Lexical Analysis;Finding Patterns in Text"";""Algebraic Laws for Regular Expressions"";""Associativity and Commutativity;Identities and Annihilators;Distributive Laws;The Idempotent Law;Discovering Laws for Regular Expressions;The Test for a Regular-Expression Algebraic Law""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Properties of Regular Languages,"""Regular Expressions"";""The Operators of Regular Expressions;Building Regular Expressions;Precedence of Regular-Expression Operators"";""Finite Automata and Regular Expressions"";""From DFA's to Regular Expressions;Converting DFA's to Regular Expressions by Eliminating States;Converting Regular Expressions to Automata"";""Applications of Regular Expressions"";""Laws Involving Closures;Regular Expressions in UNIX;Lexical Analysis;Finding Patterns in Text"";""Algebraic Laws for Regular Expressions"";""Associativity and Commutativity;Identities and Annihilators;Distributive Laws;The Idempotent Law;Discovering Laws for Regular Expressions;The Test for a Regular-Expression Algebraic Law"";""Summary of Chapter 3"";""References for Chapter 3""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Context-Free Grammars,"""Context-Free Grammars"";""An Informal Example"";""Derivations Using a Grammat"";""Definition of Contest-Free Grammars"";""Sentential Forous"";""The Language of a Granunua"";""Leftmost and Rightmost Derivations"";""Exercises for Section"";""Parse Trees"";""Constructing Porse Trees"";""The Yield of a Parse Tree"";""From Inferences to Trees"";""Inference, Derivations, and Parse Trees"";""From Trees to Derivations"";""From Derivations to Recursive Inferences""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Pushdown Automata,"""Pushdown Automata"";""Definition of the Pushdown Automaton"";""Informal Introduction"";""The Formal Definition of Pushdown Automata"";""A Graphical Notation for PDA's"";""Instantaneous Descriptions of a PDA"";""The Languages of a PDA"";""Acceptance by Final State"";""Acceptance by Empty Stack"";""From Empty Stack to Final State"";""From Final State to Empty Stack"";""Equivalence of PDA's and CFG's"";""From Grammars to Pushdown Automata"";""From PDA's to Grammars"";""Deterministic Pushdown Automata"";""Definition of a Deterministic PDA"";""Regular Languages and Deterministic PDA's"";""DPDA and Context-Free Languages"";""DPDA's and Ambiguous Grammars""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Properties of Context-Free Languages,"""Properties of Context-Free Languages"";""Normal Forms for Context-Free Grammars"";""Eliminating Useless Symbols"";""Computing the Generating and Reachable Symbols"";""Eliminating -Productions"";""Eliminating Unit Productions"";""Chomsky Normal Form"";""The Pumping Lemma for Context-Free Languages"";""The Size of Parse Trees"";""Statement of the Pumping Lemma"";""Applications of the Pumping Lemma for CFL's"";""Closure Properties of Context-Free Languages"";""Substitutions"";""Applications of the Substitution Theorem"";""Reversal"";""Intersection With a Regular Language"";""Inverse Homomorphism"";""Testing Emptiness of CFL's"";""Decision Properties of CFL's"";""Complexity of Converting Among CFG's and PDA's"";""Running Time of Conversion to Chomsky Normal Form"";""Testing Membership in a CEF"";""Preview of Undecidable CFL Problems"";""Summary of Chapter""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
