subject,book_title,unit_topic,sub_topics,author,published_year
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Introduction to Turing Machines,"""Introduction to Turing Machines"";""Problems That Computers Cannot Solve"";""Programs that Print Hello, World"";""The Hypothetical Hello, World Tester"";""Reducing One Problem to Another"";""The turning machine"";""Instantaneous Descriptions for Turing Machines"";""Transition Diagrams for Turing Machine"";""The Language of a Turing Machine"";""Turing Machines and Halting"";""Programating Techniques for Turing Machines"";""Storage in the state"";""Multiple Tracks"";""Subroutines"";""Extensions to the Basic Turing Machine"";""Multitape Turing Machines"";""Equivalence of One-Tape and Multitape TM's"";""Running Time and the Many-Tapes-to-One Construction"";""Nondeterministic Turing Machines"";""Restricted Turing Machines"";""Turing Machines With Semi-infinite Tapes"";""Multistack Machines"";""Counter Machines"";""The Power of Counter Machines"";""Turing Machines and Computers"";""Simulating a Turing Machine by Computer"";""Simulating a Computer by a Turing Machine"";""Comparing the Running Times of Computers and Turing Machines"";""Summary of Chapter 8""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Undecidability,"""Undecidability"";""A Language That Is Not Recursively Enumerable"";""Enumerating the Binary Strings"";""Codes for Turing Machines"";""The Diagonalization Language"";""Proof that La is not Recursively Enumerable"";""An Undecidable Problem That Is RE"";""Recursive Languages"";""Complements of Recursive and RE languages"";""The Universal Language"";""Undecidability of the Universal Language"";""Umdecidable Problems About Turing Machines"";""Reductions"";""Turing Machines That Accept the Empty Language"";""Rice's Theorem and Properties of the RE Languages"";""Problems about Turing-Machine Specifications"";""Post's Correspondence Problem"";""Definition of Post's Correspondence Problem"";""The Modified PCP"";""Completion of the Proof of PCP Undecidability"";""Other Undecidable Problems"";""Problems About Programs"";""Undecidability of Ambiguity for CFG's"";""The Complement of a List Language"";""Summary of Chapter 9""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Intractable Problems ,"""Intractable Problems"";""The Classes P and NP"";""Problems Solvable in Polynomial Time"";""An Example: Kruskal's Algorithm"";""Nondeterministic Polynomial Time"";""Polynomial-Time Reductions"";""NP-Complete Problems"";""An NP Example: The Traveling Salesman Problem"";""An NP-Complete Problems"";""The Satisfiability Problem"";""Representing SAT Instances"";""NP-Completeness of the SAT Problem"";""A Restricted Satisfiability Problem"";""NP-Completeness of CSAT"";""Converting Expressions to CNF"";""Normal Forms for Boolean Expressions"";""NP-Completeness of 3SAT"";""The Problem of Independent Sets"";""Additional NP-Complete Problems"";""Describing NP-complete Problems"";""The Node-Cover Problem"";""The Directed Hamilton-Circuit Problem"";""Undirected Hamilton Circuits and the TSP"";""Summary of NP-Complete Problems"";""Summary of Chapter 10""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
FORMAL LANGUAGES AND AUTOMATA THEORY,AUTOMATA THEORY LANGUAGES AND COMPUTATION,Complements of Languages in NP,"""Additional Classes of Problems"";""Complements of Languages in NP"";""The Class of Languages Co-NP"";""NP-Complete Problems and Co-NP"";""Problems Solvable in Polynomial Space"";""Polynomial-Space Turing Machines"";""Relationship of PS and NPS to Previously Defined Cla Deterministic and Nondeterministic Polynomial Space"";""A Problem That Is Complete for PS"";""PS-Completeness"";""Quantified Boolean Formulas"";""Evaluating Quantified Boolean Formulas"";""PS-Completeness of the QBF Problem"";""Language Classes Based on Randomization"";""Quicksort: an Example of a Randomized Algorithm"";""A Turing-Machine Model Using Randomization"";""The Language of a Randomized Turing Machine"";""The Class RP"";""Recognizing Languages in RP"";""The Class ZPP"";""Relationship Between RP and ZPP"";""Relationships to the Classes P and NP"";""The Complexity of Primality Testing"";""The Importance of Testing Primality"";""Introduction to Modular Arithmetic"";""The Complexity of Modular Arithmetic Computations"";""Random-Polynomial Primality Testing"";""Nondeterministic Primality Tests"";""Summary of Chapter""","""JOHNE.HOPCROFT"";
""RAJEEV MOTWANI"";
""JEFFREYD.ULLMAN"" ",2012
COMPUTER ORGANIZATION,Computer Architecture A Quantitative Approach,Fundamentals of Computer Design,"""Introduction"";""Classes of Computers"";""Defining Computer Architecture"";""Trends in Technology"";""Trends in Power in Integrated Circuits"";""Trends in Cost"";""Dependability"";""Measuring, Reporting, and Summarizing Performance"";""Quantitative Principles of Computer Design"";""Putting it All Together: Performance and Price-Performance"";""Fallacies and Pitfalls"";""Concluding Remarks"";""Historical Perspectives and References""","""John L.Henessy "";""David A.Patterson
""",2015
COMPUTER ORGANIZATION,Computer Architecture A Quantitative Approach,Instruction-Level Parallelism and Its Exploitation,"""Instruction-Level Parallelism: Concepts and Challenges"",""Basic Compiler Techniques for Exposing ILP"",""Reducing Branch Costs with Prediction"",""Overcoming Data Hazards with Dynamic Scheduling"",""Dynamic Scheduling: Examples and the Algorithm"",""Hardware-Based Speculation"",""Exploiting ILP Using Multiple Issue and Static Scheduling"",""Exploiting ILP Using Dynamic Scheduling Multiple Issue and Speculation"",""Advanced Techniques for Instruction Delivery and Speculation"",""Putting It All Together: The Pentium"",""Fallacies and Pitfalls"",""Concluding Remarks"",""Historical Perspective and References""","""John L.Henessy "";""David A.Patterson
""",2015
COMPUTER ORGANIZATION,Computer Architecture A Quantitative Approach,Limits on Instruction-Level Parallelism,"""Introduction"",""Studies of the Limitations of ILP"",""Limitations on ILP for Realizable Processors"",""Multithreading: Using ILP Support to Exploit"",""Crosscutting issues: Hardware versus Software Speculation"",""Thread-Level Parallelism"",""Putting It All Together: Performance and Efficiency in Advanced Multiple-Issue Processors"",""Fallacies and Pitfalls"",""Concluding Remarks"",""Historical Perspective""","""John L.Henessy "";""David A.Patterson
""",2015
COMPUTER ORGANIZATION,Computer Architecture A Quantitative Approach,Multiprocessors and Thread-Level Parallelism ,"""Introduction"",""Symmetric Shared-Memory Architectures"",""Performance of Symmetric"",""Shared-Memory Multiprocessors"",""Distributed Shared Memory and Directory-Based Coherence"",""Synchronization: The Basics"",""Models of Memory Consistency: An Introduction"",""Crosscutting Issues"",""Putting It All Together: The Sun T1 Multiprocessor"",""Fallacies and Pitfalls""","""John L.Henessy "";""David A.Patterson
""",2015
COMPUTER ORGANIZATION,Computer Architecture A Quantitative Approach,Memory Hierarchy Design ,"""Introduction"",""Eleven Advanced Optimizations of Cache Performance"",""Memory Technology and Optimizations"",""Protection Virtual Mertory and Virtual Machines"",""Crosscutting Issues: The Design of Memory Hierarchies"",""Putting It All Together: AMD Opteron Memory Hierarchy"",""Fallacies and Pitfalls"",""Concluding Remarks"",""Historical Perspective and Refererices""","""John L.Henessy "";""David A.Patterson
""",2015
COMPUTER ORGANIZATION,Computer Architecture A Quantitative Approach,Storage Systems ,"""Introduction"",""Advanced Topics in Disk Storage"",""Definition and Examples of Real Faults and Failures"",""A Little Queuing Theory"",""VO Performance, Reliability Measures, and Benchmarks"",""Crosscutting issues"",""Designing and Evaluating an I/O System-The Internet Archive Cluster"",""Putting It All Together: NetApp FAS6000 Filer"",""Fallacies and Pitfalls"",""Concluding Remarks"",""Historical Perspective and References Case Studies with Exercises by Andrea C. Arpaci-Dusseau and Remzi H. Arpaci-Dusseau""","""John L.Henessy "";""David A.Patterson
""",2015
COMPUTER ORGANIZATION,COMPUTER ARCHITECTURE AND ORGANIZATION,Computing and Computers,"""The Nature of Computing"",""The Elements of Computers"",""Limitations of Computers"",""The Evolution Of Computers"",""The Mechanical Era"",""Electronic Computers"",""The Later Generations"",""The VLSI Era"",""Integrated Circuits"",""Processor Architecture"",""System Architecture""",John P.Hayes,2012
COMPUTER ORGANIZATION,COMPUTER ARCHITECTURE AND ORGANIZATION,Design Methodology,"""System Design"",""System Representation"",""Design Process"",""The Gate Level"",""The Register Level"",""Register-Level Components"",""Programmable Logic Devices"",""Register-Level Design"",""The Processor Level"",""Processor-Level Components""",John P.Hayes,2012
COMPUTER ORGANIZATION,COMPUTER ARCHITECTURE AND ORGANIZATION,Processor Basics ,"""CPU Organization"",""Fundamentals"",""Additional Features"",""Data Representation"",""Floating-Point Numbers"",""Basic Formats"",""Fixed-Point Numbers"",""Instruction Sets"",""Instruction Formats"",""Instruction Types"",""Programming Consideration""",John P.Hayes,2012
COMPUTER ORGANIZATION,COMPUTER ARCHITECTURE AND ORGANIZATION,Datapath Design ,"""Fixed-Point Arithmetic"",""Addition and Subtraction"",""Multiplication"",""Division"",""Arithmetic-Logic Units"",""Combinational ALUs"",""Sequential ALUs"",""Advanced Topics"",""Floating-Point Arithmetic"",""Pipeline Processing""",John P.Hayes,2012
COMPUTER ORGANIZATION,COMPUTER ARCHITECTURE AND ORGANIZATION,Control Design ,"""Basic Concepts"",""Introduction"",""Hardwired Control"",""Design Examples"",""Microprogrammed Control"",""Basic Concepts"",""Multiplier Control Unit"",""CPU Control Unit"",""Pipeline Control"",""Instruction Pipelines"",""Pipeline Performance"",""Superscalar Processing""",John P.Hayes,2012
COMPUTER ORGANIZATION,COMPUTER ARCHITECTURE AND ORGANIZATION,Memory Organization ,"""Memory Technology"",""Memory Device Characteristics"",""Random-Access Memories"",""Serial-Access Memories"",""Memory Systems"",""Multilevel Memories"",""Address Translation"",""Memory Allocation"",""Caches"",""Main Features"",""Address Mapping"",""Structure versus Performance""",John P.Hayes,2012
COMPUTER ORGANIZATION,COMPUTER ARCHITECTURE AND ORGANIZATION,System Organization ,"""Communication Methods"",""Basic Concepts"",""Bus Control"",""IO And System Control"",""Programmed IO"",""DMA and Interrupts"",""Processors"",""Operating Systems"",""Parallel Processing"",""Processor-Level Parallelism"",""Multiprocessors"",""Fault Tolerance""",John P.Hayes,2012
COMPUTER ORGANIZATION,COMPUTER SYSTEMS ORGANIZATION & ARCHITECTURE,Digital Logic Circuits,"""Digital Logic Circuits"",""Digital Computers"",""Logic Gates"",""Boolean Algebra"",""Complement of a Function"",""Map Simplification"",""Product-of-Sums Simplification"",""Don't-Care Conditions"",""Combinational Circuits"",""Half-Adder"",""Full-Adder"",""Flip-Flops"",""SR Flip-Flop"",""D Flip-Flop"",""JK Flip-Flop"",""T Flip-Flop"",""Edge-Triggered Flip-Flops"",""Excitation Tables"",""Sequential Circuits"",""Flip-Flop Input Equations"",""State Diagram"",""Design Example"",""Design Procedure""",John D. Carpinelli,2009
COMPUTER ORGANIZATION,COMPUTER SYSTEMS ORGANIZATION & ARCHITECTURE,Digital Components,"""Digital Components"",""Integrated Circuits"",""Decoders"",""NAND Gate Decoders"",""Decoder Expansion Encoders"",""Multiplexers"",""Registers"",""Shift Registers"",""Register with Parallel Load"",""Bidirectional Shift Register with Parallel Load"",""Binary Counters"",""Binary Counter with Parallel Load"",""Memory Unit"",""Random Access Memory"",""Read Only Memory"",""Types of ROMs""",John D. Carpinelli,2010
COMPUTER ORGANIZATION,COMPUTER SYSTEMS ORGANIZATION & ARCHITECTURE,Data Representation,"""Data Representation"",""Decimal Representation"",""Complements"",""Complement"",""Octal and Hexadecimal Numbers"",""Alphanumeric Representation"",""(r-1)'s Complement"",""Subtraction of Unsigned Numbers"",""Fixed-Point Representation"",""Integer Representation"",""Arithmetic Addition"",""Arithmetic Subtraction"",""Overflow"",""Decimal Fixed-Point Representation"",""Floating-Point Representation""",John D. Carpinelli,2011
COMPUTER ORGANIZATION,COMPUTER SYSTEMS ORGANIZATION & ARCHITECTURE,Register Transfer and Microoperations,"""Register Transfer and Microoperations"",""AT Register Transfer Language Register Transfer"",""Bus and Memory Transfers"",""Three State Bus Buffers"",""Memory Transfer"",""Arithmetic Microoperations"",""Binary Adder-Subtractor"",""Binary Incrementer"",""Arithmetic Circuit"",""Logic Microoperations"",""List of Logic Microoperations"",""Some Applications"",""Hardware Implementation"",""Shift Microoperations"",""Hardware Implementation Arithmetic Logic Shift Unit"",""Hardware Description Languages"",""Introduction to VHDL"",""Basic Framework and Syntax""",John D. Carpinelli,2012
COMPUTER ORGANIZATION,COMPUTER SYSTEMS ORGANIZATION & ARCHITECTURE,Basic Computer Organization and Design,"""Basic Computer Organization and Design"",""Instruction Codes"",""Stored Program Organization"",""Indirect Address"",""Computer Registers"",""Common Bus System"",""Computer Instructions"",""Instruction Set Completeness"",""Timing and Control"",""Instruction CycleFetch and Decode"",""Memory-Reference Instructions"",""Register-Reference Instructions"",""Determine the Type of Instruction"",""LDA: Load to AC"",""STA: Store AC"",""BUN: Branch Unconditionally"",""BSA: Branch and Save Return Address"",""ISZ: Increment and Skip if Zero"",""Control Flowchart"",""Input-Outpur and Interrupt"",""Input-Output Configuration"",""Input-Output Instructions"",""Program Interrupt"",""Interrupt Cycle"",""Complete Computer Description"",""Design of Basic Computer"",""Control Logic Gates"",""Control of Registers and Memory"",""Control of Single Flip-flops"",""Control of Common Bus"",""Design of Accumulator Logic"",""Control of AC Register"",""Adder and Logic Circuit""",John D. Carpinelli,2013
COMPUTER ORGANIZATION,COMPUTER SYSTEMS ORGANIZATION & ARCHITECTURE,Programming the Basic Computer,"""Programming the Basic Computer"",""Introduction"",""Machine Language"",""Assembly Language"",""Contents"",""Rules of the Language"",""The Assembler"",""Translation to Binary"",""Representation of Symbolic Program in Memory"",""First Pass"",""Second Pass"",""Program Loops"",""Programming Arithmetic and Logic Operations"",""Multiplication Program"",""Double-Precision Addition"",""Logic Operations Shift Operations"",""Subroutines"",""Subroutine Parameters and Data Linkage 202"",""Assembly Language""",John D. Carpinelli,2014
COMPUTER ORGANIZATION,COMPUTER SYSTEMS ORGANIZATION & ARCHITECTURE,Microprogrammed Control,"""Microprogrammed Control"",""Control Memory"",""Address Sequencing"",""Conditional Branching"",""Subroutines Mapping of Instruction"",""Microprogram Example"",""Computer Configuration"",""Microinstruction Format"",""Symbolic Microinstructions"",""The Fetch Routine"",""Symbolic Microprogram"",""Binary Microprogram"",""Subroutines Mapping of Instruction""",John D. Carpinelli,2015
COMPUTER ORGANIZATION,COMPUTER SYSTEMS ORGANIZATION & ARCHITECTURE,Central Processing Unit ,"""Central Processing Unit"",""Introduction"",""General Register Organization"",""Control Word"",""Examples of Microoperations"",""Stack Organization"",""Register Stack"",""Memory Stack"",""Reverse Polish Notation"",""Evaluation of Arithmetic Expressions"",""Instruction Formats"",""Three-Address Instructions"",""Two-Address Instructions"",""One-Address Instructions"",""Zero-Address Instructions"",""RISC Instructions"",""Addressing Modes"",""Numerical Example"",""Data Transfer and Manipulation"",""Data Transfer Instructions"",""Arithmetic Instructions"",""Logical and Bit Manipulation Instructions"",""Data Manipulation Instructions"",""Shift Instructions"",""Program Control"",""Status Bit Conditions"",""Conditional Branch Instructions"",""Subroutine Call and Return"",""Program Interrupt"",""Reduced Instruction Set Computer (RISC)"",""Types of Interrupts"",""CISC Characteristics"",""RISC Characteristics""",John D. Carpinelli,2016
PROBABILITY AND STATISTICS,Probability and statistics,PROBABILITY,"""Sample Space and Events"", ""Probability"", ""The Axioms of Probability"", ""Some Elementary Theorems"", ""Conditional Probability"", ""Bayes's Theorem""",Dr.shahnaz Bathul,2012
PROBABILITY AND STATISTICS,Probability and statistics,RANDOM VARIABLES ,"""Discrete and Continuous Distribution"", ""Distribution Function""",Dr.shahnaz Bathul,2012
PROBABILITY AND STATISTICS,Probability and statistics,DISTRIBUTION,"""Binomial Distribution"", ""Poisson Distribution"", ""Normal Distribution"", ""Related Properties""",Dr.shahnaz Bathul,2012
PROBABILITY AND STATISTICS,Probability and statistics,SAMPLING DISTRIBUTION,"""Populations and Samples"", ""Variance"", ""Sampling Distribution of Mean (Known)"", ""Sampling Distribution of Mean (Unknown)"", ""Proportions (Definition)"", ""Sums and Differences""",Dr.shahnaz Bathul,2012
PROBABILITY AND STATISTICS,Probability and statistics,RX ESTIMATION ,"""Point Estimation"", ""Interval Estimation"", ""Bayesian Estimation""",Dr.shahnaz Bathul,2012
PROBABILITY AND STATISTICS,Probability and statistics,TEST OF HYPOTHESIS,"""Proportions Means Hypothesis Concerning One and Two Means"", ""Type-I and Type-II Errors"", ""One-Tail, Two-Tail Tests""",Dr.shahnaz Bathul,2012
PROBABILITY AND STATISTICS,Probability and statistics,TEST OF SIGNIFICANCE,"""Student's T-test"", ""F-test A Test"", ""Estimation of Proportions""",Dr.shahnaz Bathul,2012
PROBABILITY AND STATISTICS,Probability and statistics,CURVE FITTING,"""The Method of Least Squares"", ""Inferences Based on the Least Squares Estimations"", ""Curvilinear Regression"", ""Multiple Regression"", ""Correlation for Univariate and Bivariate Distributions""",Dr.shahnaz Bathul,2012
PROBABILITY AND STATISTICS,probability & statistics for engineering students,THEORY OF PROBABILITY,"""Introduction"", ""Definition of Various Terms"", ""Solved Problems Exercise"", ""The Axioms of Probability"", ""Some Elementary Theorem"", ""Solved Problems Exercise"", ""Conditional Probability"", ""Solved Problems"", ""Bayes' Theorem""","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability & statistics for engineering students,PROBABILITY DISTRIBUTION,"Random Variables,Types of Random Variables ,Solved Problems , Probability Mass Function (Probability Distribution),Probability Density Function (p.d.f), Solved Problems  , Jointly Distributed Random Variables , Mathematical Expectation Solved Problems","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability & statistics for engineering students,DISTRIBUTIONS,"""Introduction"", ""Mean and Variance of the Binomial Distribution"", ""Moments of Binomial Distribution"", ""Chebyshev's Theorem (Law of Large Numbers)"", ""Poisson Approximation to Binomial Distribution Theorem"", ""Normal Distribution""","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability & statistics for engineering students,SAMPLING DISTRIBUTIONS,"""Introduction"", ""Random Sample: (Infinite Population)"", ""Random Sample: (Finite Population)"", ""Sample Mean and Sample Variance"", ""Miscellaneous""","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability & statistics for engineering students,ESTIMATION ,"""Point Estimation"", ""Properties of a Good Estimator"", ""Interval Estimation"", ""Bayesian Estimation"", ""Multiple Choice Questions""","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability & statistics for engineering students,TESTING OF HYPOTHESIS,"""Introduction"", ""Simple and Composite Hypothesis"", ""Errors in Sampling"", ""Test of Significance of a Single Mean (Large Samples)"", ""Test of Significance of Difference Between Two Means (Large Samples)""","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability & statistics for engineering students,TEST OF SIGNIFICANCE,"""Introduction"", ""Test of Significance of a Single Mean (Small Samples)"", ""F-test"", ""Distribution of the Variance"", ""Chi-square Tests"", ""Estimation of Proportions"", ""Exercise Multiple Choice Questions""","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability & statistics for engineering students,CURVE FITTING,"""Introduction"", ""The Method of Least Squares"", ""Fitting of a Straight Line"", ""To Fit the Parabola"", ""Exponential Curve y = ax"", ""Fitting of the Curves of the Types y ab AND y = ax"", ""Inferences Based on the Least Square Estimates""","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability & statistics for engineering students,CORRELATION THEORY AND REGRESSION,"""Introduction"", ""Bivariate Distribution"", ""Correlation"", ""Regression"", ""Multiple Regression"", ""Correlation in Bivariate Distribution""","""Ahmed Waheedullah"";""m.Ahmed Mohiuddin Sultan Ali""",2010
PROBABILITY AND STATISTICS,probability and statistics for engineering,Overview and descriptive statistics,"""Populations, Samples, and Processes"", ""Pictorial and Tabular Methods in Descriptive Statistics"", ""Measures of Location"", ""Measures of Variability"", ""Bibliography""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Probability,"""Introduction"", ""Sample Spaces and Events"", ""Axioms, Interpretations, and Properties of Probability"", ""Counting Techniques"", ""Conditional Probability"", ""Independence""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Discrete Random Variables and Probability Distributions ,"""Introduction"", ""Random Variables"", ""Probability Distributions for Discrete Random Variables"", ""Expected Values"", ""The Binomial Probability Distribution"", ""Hypergeometric and Negative Binomial Distributions"", ""The Poisson Probability Distribution"", ""Bibliography""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Continuous Random Variables and Probability Distributions,"""Introduction"", ""Probability Density Functions"", ""Cumulative Distribution Functions and Expected Values"", ""The Normal Distribution"", ""The Exponential and Gamma Distributions""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Joint Probability Distributions and Random Samples,"""Introduction"", ""Jointly Distributed Random Variables"", ""Expected Values, Covariance, and Correlation"", ""Statistics and their Distributions"", ""The Distribution of the Sample Mean"", ""The Distribution of a Linear Combination""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Point Estimation,"""Introduction"", ""Some General Concepts of Point Estimation"", ""Methods of Point Estimation""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Statistical Intervals Basedon a Single Sample,"""Introduction"", ""Basic Properties of Confidence Intervals"", ""Large-Sample Confidence Intervals for a Population Mean and Proportion"", ""Intervals Based on a Normal Population Distribution"", ""Confidence Intervals for the Variance and Standard Deviation of a Normal Population""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering, Tests of Hypotheses Based on a Single Sample,"""Introduction"", ""Hypotheses and Test Procedures"", ""Tests About a Population Mean"", ""Tests Concerning a Population Proportion"", ""P-Values"", ""Some Comments on Selecting a Test""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Inferences Based on Two Samples,"""Introduction"", ""Z Tests and Confidence Intervals for a Difference Between Two Population Means"", ""The Two-Sample t Test and Confidence Interval"", ""Analysis of Paired Data"", ""Inferences Concerning a Difference Between Population Proportions"", ""Inferences Concerning Two Population Variances""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,The Analysis of Variance,"""Introduction"", ""Single-Factor ANOVA"", ""Multiple Comparisons in ANOVA"", ""More on Single-Factor ANOVA""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering, Multifactor Analysis of Variance,"""Introduction"", ""Two-Factor ANOVA with K=1"", ""Two-Factor ANOVA with K1"", ""Three-Factor ANOVA"", ""Factorial Experiments""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Simple Linear Regression and Correlation,"Introduction, ""The Simple Linear Regression Model"", ""Estimating Model Parameters"", ""Inferences About the Slope Parameter \( b_1 \)"", ""Inferences Concerning \( \mu_Y \) and the Prediction of Future \( Y \) Values"", ""Correlation""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering, Nonlinear and Multiple Regression,"""Introduction"", ""Aptness of the Model and Model Checking"", ""Regression with Transformed Variables"", ""Polynomial Regression"", ""Multiple Regression Analysis"", ""Other Issues in Multiple Regression""",Jay L.Devore,2013
