subject,book_title,unit_topic,sub_topics,author,published_year
PROBABILITY AND STATISTICS,probability and statistics for engineering,Goodness-of-Fit Tests and Categorical Data Analysis,"""Introduction"", ""Goodness-of-Fit Tests when Category Probabilities are Completely Specified"", ""Goodness-of-Fit Tests for Composite Hypotheses"", ""Cumulative Poisson Probabilities"", ""Two-Way Contingency""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Distribution-Free Procedures,"""Introduction"", ""The Wilcoxon Signed-Rank Test"", ""The Wilcoxon Rank-Sum Test"", ""Distribution-Free Confidence Intervals"", ""Distribution-Free ANOVA""",Jay L.Devore,2013
PROBABILITY AND STATISTICS,probability and statistics for engineering,Quality Control Methods,"""Introduction"", ""General Comments on Control Charts"", ""Control Charts for Process Location"", ""Control Charts for Process Variation"", ""Control Charts for Attributes"", ""CUSUM Procedures"", ""Acceptance Sampling"", ""Bibliography"", ""Appendix Tables"", ""Cumulative Binomial Probabilities"", ""Standard Normal Curve Areas"", ""The Incomplete Gamma Function"", ""Critical Values for t Distributions"", ""Tolerance Critical Values for Normal Population Distributions"", ""Critical Values for Chi-Squared Distributions"", ""Curve Tail Areas"", ""Critical Values for F Distributions"", ""Critical Values for Studentized Range Distributions"", ""Chi-Squared Curve Tail Areas"", ""Critical Values for the Ryan-Joiner Test of Normality"", ""Critical Values for the Wilcoxon Signed-Rank Test"", ""Critical Values for the Wilcoxon Rank-Sum Test"", ""Critical Values for the Wilcoxon Signed-Rank Interval"", ""Critical Values for the Wilcoxon Rank-Sum Interval"", ""Curves for Tests"", ""Index""",Jay L.Devore,2013
DATA WAREHOUSING AND MINING,Data Mining,INTRODUCTION TO DATA MINING,"""What Is Data Mining?"", ""Motivating Challenges"", ""The Origins of Data Mining"", ""Data Mining Tasks"", ""Scope and Organization of the Book""",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,DATA,"""Attributes and Measurement"", ""Types of Data"", ""Data Quality"", ""Measurement and Data Collection Issues"", ""Issues Related to Applications"", ""Data Preprocessing"", ""Aggregation"", ""Sampling"", ""Dimensionality Reduction"", ""Feature Subset Selection"", ""Feature Creation"", ""Discretization and Binarization"", ""Variable Transformation"", ""Measures of Similarity and Dissimilarity"", ""Basics"", ""Similarity and Dissimilarity between Simple Attributes"", ""Dissimilarities between Data Objects"", ""Similarities between Data Objects"", ""Examples of Proximity Measures"", ""Issues in Proximity Calculation"", ""Selecting the Right Proximity Measure"".",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,EXPLORING THE DATA,"""Exploring Data""; ""The Iris Data set""; ""Summary Statistics""; ""Frequencies and the Mode""; ""Percentiles""; ""Measures of Location: Mean and Median""; ""Measures of Spread: Range and Variance""; ""Multivariate Summary Statistics""; ""Other Ways to Summarize the Data""; ""Visualization""; ""Motivations for Visualization""; ""General Concepts""; ""Techniques""; ""Visualizing Higher-Dimensional Data""; ""Do's and Don'ts""; ""OLAP and Multidimensional Data Analysis""; ""Representing Iris Data as a Multidimensional Array""; ""Multidimensional Data: The General Case""; ""Analyzing Multidimensional Data""; ""Final Comments on Multidimensional Data Analysis""",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,CLASSIFICATION,"""Basic Concepts, Decision Trees, and Model Evaluation""; ""Preliminaries""; ""General Approach to Solving a Classification Problem""; ""Decision Tree Induction""; ""How a Decision Tree Works""; ""How to Build a Decision Tree""; ""Methods for Expressing Attribute Test Conditions""; ""Measures for Selecting the Best Split""; ""Algorithm for Decision Tree Induction""; ""An Example: Web Robot Detection""; ""Characteristics of Decision Tree Induction""; ""Model Overfitting""; ""Overfitting Due to Presence of Noise""; ""Overfitting Due to Lack of Representative Samples""; ""Overfitting and the Multiple Comparison Procedure""; ""Estimation of Generalization Errors""; ""Handling Overfitting in Decision Tree Induction""; ""Evaluating the Performance of a Classifier""; ""Holdout Method""; ""Random Subsampling""; ""Cross-Validation""; ""Bootstrap""; ""Methods for Comparing Classifiers""; ""Estimating a Confidence Interval for Accuracy""; ""Comparing the Performance of Two Models""; ""Comparing the Performance of Two Classifiers""",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,CLASSIFICATION: ALTERNATIVE TECHNIQUES,"""Classification: Alternative Techniques""; ""Rule-Based Classifier""; ""How a Rule-Based Classifier Works""; ""Rule-Ordering Schemes""; ""How to Build a Rule-Based Classifier""; ""Direct Methods for Rule Extraction""; ""Indirect Methods for Rule Extraction""; ""Characteristics of Rule-Based Classifiers""; ""Nearest-Neighbor Classifiers""; ""Algorithm""; ""Characteristics of Nearest-Neighbor Classifiers""; ""Bayesian Classifiers""; ""Bayes theorem""; ""Using the Bayes Theorem for Classification""; ""Naïve Bayes Classifier""; ""Bayes Error Rate""; ""Bayesian Belief Networks""; ""Artificial Neural Network (ANN)""; ""Perceptron""; ""Multilayer artificial neural network""; ""Characteristics of ANN""; ""Support Vector Machine (SVM)""; ""Maximum Margin Hyperplanes""; ""Linear SVM: Separable Case""; ""Linear SVM: Nonseparable Case""; ""Nonlinear SVM""; ""Characteristics of SVM""; ""Ensemble Methods""; ""Rationale for Ensemble Method""; ""Bagging""; ""Boosting""; ""Random Forests""; ""Methods for Constructing an Ensemble Classifier""; ""Bias Variance Decomposition""; ""Empirical Comparison among Ensemble Methods""; ""Class Imbalance Problem""; ""Alternative Metrics""; ""The Receiver Operating Characteristic Curve""; ""Cost-Sensitive Learning""; ""Sampling-Based Approaches""; ""Multiclass Problem""",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,ASSOCIATION ANALYSIS: BASIC CONCEPTS AND ALGORITHMS,"""Association Analysis: Basic Concepts and Algorithms""; ""Problem Definition""; ""Frequent Itemset Generation""; ""The Apriori Principle""; ""Frequent Itemset Generation in the Apriori Algorithm""; ""Candidate Generation and Pruning""; ""Support Counting""; ""Computational Complexity""; ""Rule Generation""; ""Confidence-Based Pruning""; ""An Example: Congressional Voting Records""; ""Rule Generation in Apriori Algorithm""; ""Maximal Frequent Itemsets""; ""Compact Representation of Frequent Itemsets""; ""Maximal frequent itemset""; ""Closed Frequent Itemsets""; ""Alternative Methods for Generating Frequent Itemsets""; ""FP-Growth Algorithm""; ""FP-Tree Representation""; ""Frequent Itemset Generation in FP-Growth Algorithm""; ""Evaluation of Association Patterns""; ""Objective Measures of Interestingness""; ""Measures beyond Pairs of Binary Variables""; ""Simpson's Paradox""; ""Effect of Skewed Support Distribution""",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,ASSOCIATION ANALYSIS: ADVANCED CONCEPS,"""Association Analysis: Advanced Concepts""; ""Handling Categorical Attributes""; ""Handling Continuous Attributes""; ""Discretization-Based Methods""; ""Statistics-Based Methods""; ""Non-discretization Methods""; ""Handling a Concept Hierarchy""; ""Sequential Patterns""; ""Problem Formulation""; ""Sequential Pattern Discovery""; ""Timing Constraints""; ""Alternative Counting Schemes""; ""Subgraph Patterns""; ""Graphs and Subgraphs""; ""Frequent Subgraph Mining""; ""Apriori-like Method""; ""Candidate Generation""; ""Candidate Pruning""; ""Support Counting""; ""Infrequent Patterns""; ""Negative Patterns""; ""Negatively Correlated Patterns""; ""Comparisons among Infrequent Patterns, Negative Patterns, and Negatively Correlated Patterns""; ""Techniques for Mining Interesting Infrequent Patterns""; ""Techniques Based on Mining Negative Patterns""; ""Techniques Based on Support Expectation""",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,CLUSTER ANALYSIS: BASIC CONCEPTS AND ALGORITHMS,"""Cluster Analysis: Basic Concepts and Algorithms""; ""Overview""; ""What Is Cluster Analysis?""; ""Different Types of Clusterings""; ""Different Types of Clusters""; ""K-means""; ""The Basic K-means Algorithm""; ""K-means: Additional Issues""; ""Bisecting K-means""; ""K-means and Different Types of Clusters""; ""Strengths and Weaknesses""; ""K-means as an Optimization Problem""; ""Agglomerative Hierarchical Clustering""; ""Basic Agglomerative Hierarchical Clustering""; ""Algorithm Specific Techniques""; ""The Lance-Williams Formula for Cluster Proximity""; ""Key Issues in Hierarchical Clustering""; ""Strengths and Weaknesses""; ""DBSCAN""; ""Traditional Density: Center-Based Approach""; ""The DBSCAN Algorithm""; ""Strengths and Weaknesses""; ""Cluster Evaluation""; ""Overview""; ""Separation""; ""Unsupervised Cluster Evaluation Using Cohesion Matrix""; ""Unsupervised Cluster Evaluation Using the Promotion Clustering Tendency""; ""Unsupervised Evaluation of Hierarchical Clustering""; ""Determining the Correct Number of Clusters""; ""Supervised Measures of Cluster Validity""; ""Assessing the Significance of Cluster Validity Measures""",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,CLUSTER ANALYSIS: ADDITIONAL ISSES AND ALGORITHMS,"""Cluster Analysis: Additional Issues and Algorithms""; ""Characteristics of Data, Clusters, and Clustering Algorithms""; ""Example: Comparing K-means and DBSCAN""; ""Data Characteristics""; ""Grid-Based Clustering""; ""Cluster Characteristics""; ""General Characteristics of Clustering Algorithms""; ""Prototype-Based Clustering""; ""Fuzzy Clustering""; ""Clustering Using Mixture Models""; ""Self-Organizing Maps (SOM)""; ""Density-Based Clustering""; ""Subspace Clustering""; ""DENCLUE: A Kernel-Based Scheme for Density-Based Clustering""; ""Graph-Based Clustering""; ""Sparsification""; ""Minimum Spanning Tree (MST) Clustering""; ""OPOSSUM: Optimal Partitioning of Sparse Similarities Using METIS""; ""Chameleon: Hierarchical Clustering with Dynamic Modeling""; ""Shared Nearest Neighbor Similarity""; ""The Jarvis-Patrick Clustering Algorithm""; ""SNN Density""; ""SNN Density-Based Clustering""; ""Scalable Clustering Algorithms""; ""Scalability: General Issues and Approaches""; ""BIRCH""; ""CURE""; ""Which Clustering Algorithm?""",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,ANOMALY DETECTION,"""Anomaly Detection""; ""Preliminaries""; ""Causes of Anomalies""; ""Approaches to Anomaly Detection""; ""The Use of Class Labels""; ""Issues""; ""Statistical Approaches""; ""Detecting Outliers in a Univariate Normal Distribution""; ""Outliers in a Multivariate Normal Distribution""; ""A Mixture Model Approach for Anomaly Detection""; ""Strengths and Weaknesses""; ""Proximity-Based Outlier Detection""; ""Strengths and Weaknesses""; ""Density-Based Outlier Detection""; ""Detection of Outliers Using Relative Density""; ""Strengths and Weaknesses""; ""Clustering-Based Techniques""; ""Assessing the Extent to Which an Object Belongs to a Cluster""; ""Impact of Outliers on the Initial Clustering""; ""Strengths and Weaknesses"".",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,LINEAR ALGEBRA,"""A. Linear Algebra""; ""Vectors""; ""Definition""; ""Vector Addition and Multiplication by a Scalar""; ""Vector Space""; ""The Dot Product, Orthogonality, and Orthogonal Projections""; ""Vectors and Data Analysis""; ""Matrices""; ""Matrices: Definitions""; ""Matrices: Multiplication""; ""Linear Transformations and Inverse Matrices""; ""Eigenvalue and Singular Value Decomposition""; ""Matrices and Data Analysis"". ""B. Dimensionality Reduction""; ""PCA and SVD""; ""Principle components analysis (PCA)""; ""SVD""; ""Other Dimensionality Reduction Techniques""; ""Factor Analysis""; ""Locally Linear Embedding (LLE)""; ""Multidimensional Scaling, FastMap, and ISOMAP""; ""Common Issues"".",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data Mining,PROBABILITY AND STATISTICS,"""Probability""; ""Expected Values""; ""Statistics""; ""Point Estimation""; ""Central Limit Theorem""; ""Interval Estimation""; ""Hypothesis Testing"". ""D. Regression""; ""Preliminaries""; ""Simple Linear Regression""; ""Least Square Method""; ""Analyzing Regression Errors""; ""Analyzing Goodness of Fit""; ""Multivariate Linear Regression""; ""Alternative Least-Square Regression Methods"". ""E. Optimization""; ""Unconstrained Optimization""; ""Numerical Methods""; ""Constrained Optimization""; ""Equality Constraints""; ""Inequality Constraints"".",VIPIN KUMAR,2015
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,DATA MINING,"""What Motivated Data Mining? Why Is It Important?""; ""So, What Is Data Mining?""; ""Data Mining-On What Kind of Data?""; ""Relational Databases""; ""Data Warehouses""; ""Transactional Databases""; ""Advanced Data and Information Systems and Advanced Applications""; ""Data Mining Functionalities-What Kinds of Patterns Can Be Mined?""; ""Concept/Class Description: Characterization and Discrimination""; ""Mining Frequent Patterns, Associations, and Correlations""; ""Classification and Prediction""; ""Cluster Analysis""; ""Outlier Analysis""; ""Evolution Analysis""; ""Are All of the Patterns Interesting?""; ""Classification of Data Mining Systems""; ""Data Mining Task Primitives""; ""Integration of a Data Mining System with a Database or Data Warehouse System""; ""Major Issues in Data Mining""","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,DATA PREPROCESSING,"""Why Preprocess the Data?""; ""Descriptive Data Summarization""; ""Measuring the Central Tendency""; ""Measuring the Dispersion of Data""; ""Graphic Displays of Basic Descriptive Data Summaries""; ""Data Cleaning""; ""Missing Values""; ""Noisy Data""; ""Data Cleaning as a Process""; ""Data Integration and Transformation""; ""Data Integration""; ""Data Transformation""; ""Data Reduction""; ""Data Cube Aggregation""; ""Attribute Subset Selection""; ""Dimensionality Reduction""; ""Data Discretization and Concept Hierarchy Generation""; ""Discretization and Concept Hierarchy Generation for Numerical Data""; ""Concept Hierarchy Generation for Categorical Data""","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,DATA WAREHOUSING AND OLAP TECHNOLOGY,"Chapter 3 Data Warehouse and OLAP Technology: An Overview""; ""What Is a Data Warehouse?""; ""Differences between Operational Database Systems and Data Warehouses""; ""But Why Have a Separate Data Warehouse?""; ""A Multidimensional Data Model""; ""From Tables and Spreadsheets to Data Cubes""; ""Stars, Snowflakes, and Fact Constellations: Schemas for Multidimensional Databases""; ""Examples for Defining Star, Snowflake, and Fact Constellation Schemas""; ""Contents""; ""Measures: Their Categorization and Computation""; ""Concept Hierarchies""; ""OLAP Operations in the Multidimensional Data Model""; ""A Standard Query Model for Querying Multidimensional Databases""; ""Data Warehouse Architecture""; ""Steps for the Design and Construction of Data Warehouses""; ""A Three-Tier Data Warehouse Architecture""; ""Data Warehouse Back-End Tools and Utilities""; ""Metadata Repository""; ""Types of OLAP Servers: ROLAP versus MOLAP versus HOLAP""; ""Data Warehouse Implementation""; ""Efficient Computation of Data Cubes""; ""Indexing OLAP Data""; ""Efficient Processing of OLAP Queries""; ""From Data Warehousing to Data Mining""; ""Data Warehouse Usage""; ""From On-Line Analytical Processing to On-Line Analytical Mining"".","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,DATA CUBE COMPUTATION AND DATA ENERALIZATION,"""Efficient Methods for Data Cube Computation""; ""A Road Map for the Materialization of Different Kinds of Cubes""; ""Multiway Array Aggregation for Full Cube Computation""; ""BUC: Computing Iceberg Cubes from the Apex Cuboid Downward""; ""Star-cubing: Computing Iceberg Cubes Using a Dynamic Star-tree Structure""; ""Precomputing Shell Fragments for Fast High-Dimensional OLAP""; ""Computing Cubes with Complex Iceberg Conditions""; ""Further Development of Data Cube and OLAP Technology""; ""Discovery-Driven Exploration of Data Cubes""; ""Complex Aggregation at Multiple Granularity: Multifeature Cubes""; ""Constrained Gradient Analysis in Data Cubes""; ""Attribute-Oriented Induction-An Alternative Method for Data Generalization and Concept Description""; ""Attribute-Oriented induction for Data Characterization""; ""Efficient Implementation of Attribute Oriented induction""; ""Presentation of the Deniveld Generalization""; ""Mining Can Comparisons Discriminating between Different Classes""; ""Class Description: Presentation of Both Characterization and Comparison"".","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,"MINING FREQUENT PATTERNS, ASSOCIATIONS AND CORRELATIONS","""Basic Concepts and a Road Map ""; ""Market Basket Analysis: A Motivating Example Frequent Itemsets, Closed Itemsets, and Association Rules""; ""Frequent Pattern Mining A Road Map""; ""Efficient and Scalable Frequent Itemset Mining Methods""; ""The Apriori Algorithm: Finding Frequent Itemsets Using Candidate Generation""; ""Generating Association Rules from Frequent Itemsets""; ""Improving the Efficiency of Apriori""; ""Mining Frequent Itemsets without Candidate Generation""; ""Mining Frequent Itemsets Using Vertical Data Format""; ""Mining Closed Frequent Itemsets""; ""Mining Various Kinds of Association Rules""; ""Mining Multilevel Association Rules""; ""Mining Multidimensional Association Rules""; ""from Relational Databases and Data Warehouses""; ""From Association Mining to Correlation Analysis""; ""Strong Rules Are Not Necessarily Interesting: An Example""; ""From Association Analysis to Correlation Analysis""; ""Constraint-Based Association Mining""; ""Metarule-Guided Mining of Association Rules""; ""Constraint Pushing: Mining Guided by Rule Constraints"".","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,CLASSIFICATION AND PREDICTION,"""What Is Classification! What Is Prediction!""; ""Issues Regarding Classification and Prediction""; ""Preparing the Data for Classification and Prediction, Comparing Classification and Prediction Methods""; ""Classification by Decision Tree Induction""; ""Decision Tree Induction, Attribute Selection Measures, Tree Pruning, Scalability and Decision Tree Induction""; ""Bayesian Classification""; ""Bayes Theorem, Naive Bayesian Classification, Bayesian Belief Networks, Training Bayesian Belief Networks""; ""Rule-Based Classification""; ""Using IF-THEN Rules for Classification, Rule Extraction from a Decision Tree, Rule Induction Using a Sequential Covering Algorithm""; ""Classification by Backpropagation""; ""A Multilayer Feed-Forward Neural Network, Defining a Network Topology, Backpropagation, Inside the Black Box Backpropagation and Interpretability""; ""Support Vector Machines""; ""The Case When the Data Are Linearly Separable, The Case When the Data Are Linearly Inseparable""; ""Associative Classification: Classification by Association Rule Analysis""; ""Lazy Learners (or Learning from Your Neighbors)""; ""k-Nearest-Neighbor Classifiers, Case-Based Reasoning""; ""Other Classification Methods""; ""Genetic Algorithms, Rough Set Approach, Fuzzy Set Approaches""; ""Prediction Linear Regression, Nonlinear Regression, Other Regression-Based Methods""; ""Accuracy and Error Measures""; ""Classifier Accuracy Measures, Predictor Furur Measures""; ""Evaluating the Accuracy of a Classifier or Predictor""; ""Holdout Method and Random Subsampling, Cross-validation, Bootstrap""; ""Ensemble Methods-Increasing the Accuracy""; ""Bagging, Boosting""; ""Model Selection""; ""Estimating Confidence Intervals, ROC Curves"".","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,CLUSTER ANALYSIS,"""What Is Cluster Analysis?""; ""Types of Data in Cluster Analysis ""; ""Interval-Scaled Variables, Binary Variables, Categorical, Ordinal, and Ratio-Scaled Variables, Variables of Mixed Types, Vector Objects""; ""A Categorization of Major Clustering Methods""; ""Partitioning Methods""; ""Classical Partitioning Methods: k-Means and k-Medoids, Partitioning Methods in Large Databases: From k-Medoids to CLARANS""; ""Hierarchical Methods""; ""Agglomerative and Divisive Hierarchical Clustering, BIRCH: Balanced Iterative Reducing and Clustering Using Hierarchies, ROCK: A Hierarchical Clustering Algorithm for Categorical Attributes, Chameleon: A Hierarchical Clustering Algorithm Using Dynamic Modeling""; ""Density-Based Methods 418""; ""DBSCAN: A Density-Based Clustering Method Based on Connected Regions with Sufficiently High Density, OPTICS: Ordering Points to Identify the Clustering Structure, DENCLUE Clustering Based on Density Distribution Functions""; ""Grid-Based Methods""; ""STING: Statistical Information Grid, WaveCluster: Clustering Using Wavelet Transformation""; ""Model-Based Clustering Methods""; ""Expectation-Maximization, Conceptual Clustering, Neural Network Approach""; ""Clustering High-Dimensional Data""; ""CLIQUE A Dimension-Growth Subspace Clustering Method, PROCLUS A Dimension-Reduction Subspace Clustering, Method Frequent Pattern-Based Clustering Methods""; ""Constraint-Based Cluster Analysis""; ""Clustering with Obstacle Objects, User-Constrained Cluster Analysis, Semi-Supervised Cluster Analysis""; ""Outlier Analysis""; ""Statistical Distribution-Based Outlier Detection, Distance-Based Outlier Detection, Density-Based Local Outlier Detection, Deviation-Based Outlier Detection"".","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,"MINING STREAM, TIME SERIES AND SEQUENCE DATA","""Mining Data Streams""; ""Methodologies for Stream Data Processing and Stream Data Systems, Stream OLAP and Stream Data Cubes, Frequent-Pattern Mining in Data Streams, Classification of Dynamic Data Streams, Clustering Evolving Data Streams""; ""Mining Time-Series Data""; ""Trend Analysis, Similarity Search in Time-Series Analysis""; ""Mining Sequence Patterns in Transactional Databases""; ""Sequential Pattern Mining Concepts and Primitives, Scalable Method for Mining Sequential Patterns, Constraint-Based Mining of Sequential Patterns, Periodicity Analysis for Time-Related Sequence Data""; ""Mining Sequence Patterns in Biological Data""; ""Alignment of Biological Sequences, Hidden Markov Model for Biological Sequence Analysis"".","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,"GRAPH MINING, SOCIAL ETWORK ANALYSIS AND MULTIRELATIONAL","""Graph Mining""; ""Methods for Mining Frequent Subgraphs, Mining Variant and Constrained Substructure Patterns, Applications: Graph Indexing, Similarity Search, Classification, and Clustering""; ""Social Network Analysis""; ""What is a Social Network, Characteristics of Social Networks, Link Mining Tasks and Challenges, Mining on Social Networks""; ""Multirelational Data Mining""; ""What is Multirelational Data Mining? ILP Approach to Multirelational Classification, Tuple ID Propagation, Multirelational Classification Using Tuple ID Propagation, Multirelational Clustering with User Guidance"".","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,"MINING OBJECT, SPATIAL, MULTIMEDIA, TEXT AN D WEB DATA","""Multidimensional Analysis and Descriptive Mining of Complex Data Objects""; ""Generalization of Structured Data, Aggregation and Approximation in Spatial and Multimedia Data Generalization, Generalization of Object identifiers and Class/Subclass Hierarchies, Generalization of Class Composition Hierarchies Construction and Mining of Object Cuties, Generalization-Based Mining of Plan Databases by Divide-and-Conquer""; ""Spatial Data Mining""; ""Spatial Data Cube Construction and Spatial OLAP, Mining Spatial Association and Co-location Patterns, Spatial Clustering Methods, Spatial Classification and Spatial Trend Analysis, Mining Raster Databases""; ""Multimedia Data Mining""; ""Similarity Search in Multimedia Data, Multidimensional Analysis of Multimedia Data, Classification and Prediction Analysis of Multimedia Data, Mining Associations in Multimedia Data, Audio and Video Data Mining""; ""Text Mining""; ""Text Data Analysis and Information Retrieval, Dimensionality Reduction for Text, Text Mining Approaches""; ""Mining the World Wide Web""; ""Mining the Web Page Layout Structure, Mining the Web's Link Structures to Identify Authoritative Web Pages, Mining Multimedia Data on the Web, Automatic Classification of Web Documents, Web Usage Mining""","""Micheline kamber"";""Jiawei Han""",2012
DATA WAREHOUSING AND MINING,Data mining concepts and techniques,APPLICATIONS AND TRENDS IN DATA MINING,"""Data Mining Applications""; ""Data Mining for Financial Data Analysis, Data Mining for the Retail Industry, Data Mining for the Telecommunication Industry, Data Mining for Biological Data Analysis, Data Mining in Other Scientific Applications, Data Mining for Intrusion Detection""; ""Data Mining System Products and Research Prototypes""; ""How to Choose a Data Mining System, Examples of Commercial Data Mining Systems""; ""Additional Themes on Data Mining""; ""Theoretical Foundations of Data Mining, Statistical Data Mining, Visual and Audio Data Mining, Data Mining and Collaborative Filtering""; ""Social Impacts of Data Mining""; ""Ubiquitous and Invisible Data Mining, Data Mining Privacy and Data Security""; ""Trends in Data Mining"".","""Micheline kamber"";""Jiawei Han""",2012
